Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	Time - Plot 3	Amplitude - Plot 3	Time - Plot 4	Amplitude - Plot 4	Time - Plot 5	Amplitude - Plot 5	Time - Plot 6	Amplitude - Plot 6	Time - Plot 7	Amplitude - Plot 7	Time - Plot 8	Amplitude - Plot 8	Time - Plot 9	Amplitude - Plot 9	Time - Plot 10	Amplitude - Plot 10	Time - Plot 11	Amplitude - Plot 11	Time - Plot 12	Amplitude - Plot 12	Time - Plot 13	Amplitude - Plot 13
0	-7,25368	0	-7,23024	0	-2,01623	0	-7,23794	0	-7,24954	0	-7,24926	0	-7,22325	0	-7,24549	0	-7,21767	0	-7,22056	0	-7,24596	0	-7,24879	0	-7,23774	0	-7,24253
1	-7,25373	1	-7,23037	1	-7,2342	1	-7,23802	1	-7,24955	1	-7,24924	1	-7,22336	1	-7,24555	1	-7,21773	1	-7,22057	1	-7,24602	1	-7,2488	1	-7,2378	1	-7,24259
2	-7,25378	2	-7,23034	2	-7,23424	2	-7,23802	2	-7,24961	2	-7,24929	2	-7,22337	2	-7,24552	2	-7,21779	2	-7,22063	2	-7,24607	2	-7,24883	2	-7,2378	2	-7,24259
3	-7,2531	3	-7,22952	3	-7,23351	3	-7,23716	3	-7,24878	3	-7,24843	3	-7,22252	3	-7,24479	3	-7,21677	3	-7,21989	3	-7,24524	3	-7,24814	3	-7,23702	3	-7,24177
4	-7,25315	4	-7,22956	4	-7,23352	4	-7,23719	4	-7,24875	4	-7,24841	4	-7,22259	4	-7,2448	4	-7,2168	4	-7,21987	4	-7,24521	4	-7,24811	4	-7,23695	4	-7,24177
5	-7,25315	5	-7,22955	5	-7,23348	5	-7,23719	5	-7,24877	5	-7,2484	5	-7,22254	5	-7,24485	5	-7,21679	5	-7,21987	5	-7,24525	5	-7,24811	5	-7,237	5	-7,24176
6	-7,25316	6	-7,22958	6	-7,23349	6	-7,2372	6	-7,24882	6	-7,24844	6	-7,22254	6	-7,24482	6	-7,21678	6	-7,21989	6	-7,24522	6	-7,24811	6	-7,23697	6	-7,24177
7	-7,25318	7	-7,22959	7	-7,2335	7	-7,2372	7	-7,24879	7	-7,24843	7	-7,22259	7	-7,24486	7	-7,21681	7	-7,21992	7	-7,24525	7	-7,24816	7	-7,23702	7	-7,24176
8	-7,25319	8	-7,22953	8	-7,23347	8	-7,23721	8	-7,24878	8	-7,24843	8	-7,22257	8	-7,24485	8	-7,21686	8	-7,21992	8	-7,24525	8	-7,24812	8	-7,23698	8	-7,24174
9	-7,25321	9	-7,22954	9	-7,23347	9	-7,23723	9	-7,24877	9	-7,24847	9	-7,22262	9	-7,24483	9	-7,21682	9	-7,21991	9	-7,24527	9	-7,24813	9	-7,237	9	-7,24178
10	-7,25315	10	-7,22955	10	-7,23345	10	-7,23723	10	-7,24874	10	-7,24846	10	-7,22261	10	-7,24479	10	-7,21683	10	-7,21992	10	-7,24524	10	-7,24818	10	-7,23701	10	-7,24181
11	-7,25317	11	-7,22962	11	-7,23349	11	-7,23722	11	-7,24877	11	-7,24845	11	-7,22263	11	-7,24483	11	-7,21684	11	-7,21998	11	-7,24526	11	-7,24815	11	-7,23704	11	-7,24181
12	-7,2532	12	-7,22958	12	-7,23349	12	-7,23722	12	-7,24878	12	-7,24844	12	-7,22263	12	-7,24484	12	-7,21684	12	-7,21995	12	-7,24531	12	-7,2481	12	-7,23702	12	-7,24185
13	-7,2532	13	-7,22957	13	-7,23347	13	-7,2372	13	-7,24875	13	-7,24847	13	-7,2226	13	-7,24481	13	-7,21686	13	-7,21992	13	-7,24524	13	-7,24811	13	-7,237	13	-7,24186
14	-7,2532	14	-7,22956	14	-7,23349	14	-7,2372	14	-7,24882	14	-7,24849	14	-7,22263	14	-7,24481	14	-7,21686	14	-7,22	14	-7,24525	14	-7,2481	14	-7,23704	14	-7,24183
15	-7,25319	15	-7,22959	15	-7,23351	15	-7,23725	15	-7,24879	15	-7,24845	15	-7,22256	15	-7,24482	15	-7,21686	15	-7,21998	15	-7,24527	15	-7,24816	15	-7,23702	15	-7,24186
16	-7,25316	16	-7,22957	16	-7,23347	16	-7,2372	16	-7,24883	16	-7,24848	16	-7,22256	16	-7,2448	16	-7,21683	16	-7,21994	16	-7,2453	16	-7,24815	16	-7,23704	16	-7,24186
17	-7,2532	17	-7,22957	17	-7,23349	17	-7,23721	17	-7,24884	17	-7,24849	17	-7,22252	17	-7,24481	17	-7,21676	17	-7,21995	17	-7,2453	17	-7,24818	17	-7,23699	17	-7,24187
