Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	Time - Plot 3	Amplitude - Plot 3	Time - Plot 4	Amplitude - Plot 4	Time - Plot 5	Amplitude - Plot 5	Time - Plot 6	Amplitude - Plot 6	Time - Plot 7	Amplitude - Plot 7	Time - Plot 8	Amplitude - Plot 8	Time - Plot 9	Amplitude - Plot 9	Time - Plot 10	Amplitude - Plot 10	Time - Plot 11	Amplitude - Plot 11	Time - Plot 12	Amplitude - Plot 12	Time - Plot 13	Amplitude - Plot 13
0	-7,20564	0	-7,23521	0	-7,20061	0	-7,24292	0	-7,2245	0	-7,20624	0	-7,25056	0	-7,19749	0	-7,21287	0	-7,23747	0	-7,22381	0	-7,23498	0	-7,22777	0	-7,21077
1	-7,20497	1	-7,23516	1	-7,20055	1	-7,24272	1	-7,22448	1	-7,2062	1	-7,2505	1	-7,19744	1	-7,21274	1	-7,23741	1	-7,22371	1	-7,23495	1	-7,22776	1	-7,21075
2	-7,20792	2	-7,23515	2	-7,20055	2	-7,24274	2	-7,22439	2	-7,20621	2	-7,2505	2	-7,19749	2	-7,21269	2	-7,23739	2	-7,2237	2	-7,23496	2	-7,22777	2	-7,21072
3	-7,20743	3	-7,23517	3	-7,20057	3	-7,24271	3	-7,22435	3	-7,20616	3	-7,25045	3	-7,19746	3	-7,21264	3	-7,2374	3	-7,22369	3	-7,23496	3	-7,22776	3	-7,21074
4	-7,21808	4	-7,23517	4	-7,20057	4	-7,24271	4	-7,22443	4	-7,20616	4	-7,2505	4	-7,19747	4	-7,21261	4	-7,23742	4	-7,22368	4	-7,23494	4	-7,22776	4	-7,21075
5	-7,21819	5	-7,23515	5	-7,20053	5	-7,24266	5	-7,22433	5	-7,20614	5	-7,25046	5	-7,19745	5	-7,21255	5	-7,23739	5	-7,22367	5	-7,23491	5	-7,22774	5	-7,2107
6	-7,21818	6	-7,2351	6	-7,20055	6	-7,24249	6	-7,22436	6	-7,20611	6	-7,25036	6	-7,19737	6	-7,21254	6	-7,23731	6	-7,2236	6	-7,23483	6	-7,22766	6	-7,21067
7	-7,21814	7	-7,23507	7	-7,20054	7	-7,24234	7	-7,22434	7	-7,20601	7	-7,2502	7	-7,19726	7	-7,2125	7	-7,23721	7	-7,22351	7	-7,23474	7	-7,2276	7	-7,21058
8	-7,21821	8	-7,23503	8	-7,20049	8	-7,2421	8	-7,22426	8	-7,20597	8	-7,25012	8	-7,19711	8	-7,21591	8	-7,23707	8	-7,22342	8	-7,23463	8	-7,22749	8	-7,21047
9	-7,21809	9	-7,23499	9	-7,20046	9	-7,24191	9	-7,22419	9	-7,20589	9	-7,25003	9	-7,19699	9	-7,21456	9	-7,23697	9	-7,22332	9	-7,23453	9	-7,2274	9	-7,21038
10	-7,21798	10	-7,23491	10	-7,20046	10	-7,24171	10	-7,22405	10	-7,20584	10	-7,24991	10	-7,19688	10	-7,21437	10	-7,23686	10	-7,22326	10	-7,23446	10	-7,22727	10	-7,2103
11	-7,21772	11	-7,23488	11	-7,20043	11	-7,24153	11	-7,22385	11	-7,20575	11	-7,24986	11	-7,19677	11	-7,21427	11	-7,23676	11	-7,22318	11	-7,23438	11	-7,22718	11	-7,21021
12	-7,21782	12	-7,23486	12	-7,20039	12	-7,24135	12	-7,22392	12	-7,20572	12	-7,24977	12	-7,19667	12	-7,21421	12	-7,23669	12	-7,2231	12	-7,23432	12	-7,22707	12	-7,21015
13	-7,21784	13	-7,23479	13	-7,2004	13	-7,24119	13	-7,2238	13	-7,20565	13	-7,24969	13	-7,19659	13	-7,21905	13	-7,23662	13	-7,223	13	-7,23425	13	-7,22701	13	-7,21008
14	-7,21777	14	-7,23476	14	-7,20038	14	-7,24104	14	-7,22378	14	-7,20558	14	-7,24963	14	-7,19649	14	-7,21757	14	-7,2365	14	-7,22296	14	-7,23415	14	-7,22691	14	-7,21001
15	-7,21767	15	-7,23471	15	-7,20038	15	-7,24089	15	-7,22378	15	-7,20554	15	-7,24957	15	-7,19644	15	-7,21714	15	-7,23644	15	-7,22289	15	-7,23409	15	-7,22683	15	-7,20997
16	-7,21644	16	-7,2347	16	-7,20038	16	-7,24078	16	-7,22379	16	-7,20549	16	-7,24953	16	-7,19637	16	-7,21684	16	-7,2364	16	-7,22288	16	-7,23404	16	-7,22679	16	-7,20991
17	-7,21653	17	-7,23468	17	-7,20033	17	-7,24066	17	-7,22366	17	-7,20548	17	-7,24947	17	-7,19633	17	-7,21668	17	-7,23633	17	-7,22285	17	-7,23398	17	-7,22673	17	-7,20986
18	-7,21647	18	-7,23466	18	-7,20037	18	-7,24058	18	-7,22366	18	-7,20546	18	-7,24945	18	-7,19627	18	-7,21657	18	-7,23626	18	-7,22278	18	-7,23394	18	-7,22667	18	-7,20986
19	-7,21652	19	-7,23462	19	-7,2003	19	-7,24053	19	-7,22368	19	-7,20542	19	-7,24939	19	-7,19621	19	-7,22041	19	-7,23622	19	-7,22275	19	-7,23387	19	-7,22662	19	-7,2098
20	-7,21645	20	-7,23463	20	-7,20032	20	-7,24043	20	-7,22376	20	-7,20537	20	-7,24935	20	-7,19615	20	-7,21944	20	-7,23615	20	-7,22273	20	-7,23385	20	-7,2266	20	-7,20979
21	-7,21642	21	-7,23457	21	-7,2003	21	-7,24031	21	-7,2235	21	-7,20532	21	-7,24933	21	-7,19609	21	-7,21917	21	-7,23612	21	-7,22268	21	-7,23384	21	-7,22651	21	-7,20978
22	-7,21582	22	-7,23459	22	-7,20029	22	-7,24028	22	-7,22347	22	-7,20532	22	-7,24928	22	-7,1961	22	-7,21892	22	-7,23607	22	-7,22265	22	-7,2338	22	-7,22649	22	-7,20973
23	-7,21573	23	-7,23456	23	-7,20029	23	-7,24026	23	-7,22355	23	-7,20532	23	-7,24929	23	-7,19607	23	-7,21875	23	-7,23611	23	-7,22265	23	-7,2338	23	-7,22645	23	-7,20971
24	-7,21565	24	-7,23457	24	-7,20031	24	-7,24027	24	-7,22354	24	-7,20528	24	-7,24926	24	-7,19607	24	-7,22264	24	-7,23607	24	-7,22263	24	-7,23378	24	-7,22645	24	-7,20972
25	-7,21559	25	-7,23459	25	-7,20027	25	-7,24023	25	-7,22364	25	-7,20529	25	-7,24929	25	-7,19604	25	-7,22155	25	-7,23608	25	-7,22263	25	-7,23377	25	-7,22645	25	-7,20969
26	-7,21553	26	-7,23459	26	-7,20028	26	-7,24024	26	-7,22361	26	-7,2053	26	-7,24926	26	-7,19604	26	-7,22123	26	-7,23605	26	-7,22262	26	-7,23378	26	-7,22646	26	-7,20969
27	-7,21538	27	-7,23454	27	-7,2003	27	-7,24024	27	-7,22352	27	-7,20529	27	-7,24925	27	-7,19606	27	-7,22096	27	-7,23603	27	-7,22263	27	-7,23376	27	-7,22644	27	-7,20968
28	-7,21533	28	-7,23458	28	-7,20028	28	-7,24021	28	-7,22357	28	-7,20532	28	-7,24928	28	-7,19607	28	-7,22073	28	-7,23606	28	-7,22262	28	-7,23376	28	-7,22644	28	-7,20971
29	-7,21487	29	-7,23457	29	-7,20028	29	-7,24018	29	-7,22353	29	-7,2053	29	-7,24928	29	-7,19603	29	-7,22057	29	-7,23603	29	-7,22264	29	-7,23373	29	-7,22645	29	-7,20968
30	-7,21661	30	-7,23455	30	-7,20028	30	-7,2402	30	-7,22355	30	-7,20529	30	-7,24928	30	-7,19603	30	-7,22039	30	-7,23605	30	-7,22263	30	-7,23374	30	-7,22644	30	-7,20967
31	-7,21681	31	-7,23454	31	-7,20027	31	-7,24023	31	-7,22358	31	-7,2053	31	-7,24928	31	-7,19604	31	-7,22025	31	-7,23604	31	-7,2226	31	-7,23376	31	-7,22642	31	-7,20969
32	-7,21847	32	-7,23458	32	-7,20027	32	-7,2402	32	-7,22363	32	-7,20529	32	-7,24924	32	-7,19605	32	-7,22146	32	-7,23604	32	-7,22263	32	-7,23373	32	-7,22641	32	-7,20967
33	-7,21894	33	-7,23456	33	-7,20026	33	-7,24015	33	-7,22355	33	-7,20528	33	-7,24922	33	-7,19603	33	-7,22121	33	-7,23603	33	-7,22259	33	-7,23375	33	-7,2264	33	-7,20968
34	-7,2191	34	-7,23453	34	-7,20026	34	-7,24014	34	-7,22362	34	-7,20528	34	-7,2492	34	-7,19604	34	-7,22098	34	-7,23602	34	-7,2226	34	-7,23372	34	-7,22641	34	-7,20966
35	-7,21899	35	-7,23454	35	-7,20029	35	-7,2402	35	-7,22359	35	-7,2053	35	-7,24919	35	-7,19602	35	-7,22085	35	-7,23601	35	-7,22261	35	-7,23371	35	-7,22643	35	-7,20964
36	-7,22567	36	-7,23455	36	-7,20029	36	-7,24016	36	-7,22346	36	-7,20528	36	-7,24918	36	-7,19602	36	-7,2207	36	-7,23603	36	-7,2226	36	-7,2337	36	-7,22637	36	-7,20963
37	-7,22585	37	-7,23452	37	-7,20027	37	-7,24014	37	-7,22349	37	-7,20527	37	-7,24919	37	-7,19601	37	-7,22057	37	-7,23601	37	-7,2226	37	-7,23372	37	-7,22637	37	-7,20964
38	-7,2248	38	-7,23455	38	-7,20029	38	-7,24013	38	-7,22357	38	-7,20528	38	-7,2492	38	-7,19603	38	-7,22245	38	-7,236	38	-7,22259	38	-7,2337	38	-7,22637	38	-7,20963
39	-7,22522	39	-7,23454	39	-7,20029	39	-7,2401	39	-7,22357	39	-7,2053	39	-7,24917	39	-7,19602	39	-7,22253	39	-7,23601	39	-7,22261	39	-7,23373	39	-7,22637	39	-7,20964
40	-7,22522	40	-7,23452	40	-7,20026	40	-7,24011	40	-7,2235	40	-7,20528	40	-7,24916	40	-7,19602	40	-7,22231	40	-7,23598	40	-7,22261	40	-7,23372	40	-7,22638	40	-7,20963
41	-7,22516	41	-7,23453	41	-7,20027	41	-7,24013	41	-7,22346	41	-7,20529	41	-7,24918	41	-7,19603	41	-7,22222	41	-7,23598	41	-7,22262	41	-7,2337	41	-7,22639	41	-7,2096
42	-7,2252	42	-7,23457	42	-7,20029	42	-7,24012	42	-7,22349	42	-7,20525	42	-7,24917	42	-7,19601	42	-7,2221	42	-7,236	42	-7,22262	42	-7,23373	42	-7,22639	42	-7,20961
43	-7,22514	43	-7,23453	43	-7,20031	43	-7,24013	43	-7,22345	43	-7,20526	43	-7,24914	43	-7,19601	43	-7,222	43	-7,23598	43	-7,22261	43	-7,23371	43	-7,22639	43	-7,20962
44	-7,22498	44	-7,23456	44	-7,2003	44	-7,24009	44	-7,22346	44	-7,20528	44	-7,24916	44	-7,19603	44	-7,22189	44	-7,23601	44	-7,22259	44	-7,2337	44	-7,22638	44	-7,20963
45	-7,225	45	-7,23455	45	-7,20029	45	-7,24012	45	-7,22358	45	-7,20525	45	-7,24916	45	-7,19603	45	-7,2218	45	-7,23601	45	-7,22258	45	-7,2337	45	-7,22638	45	-7,20964
46	-7,22511	46	-7,23455	46	-7,20032	46	-7,24009	46	-7,22352	46	-7,20527	46	-7,24915	46	-7,19603	46	-7,2217	46	-7,236	46	-7,22258	46	-7,23369	46	-7,22638	46	-7,20964
47	-7,22507	47	-7,23454	47	-7,20031	47	-7,24009	47	-7,22335	47	-7,20525	47	-7,24914	47	-7,19605	47	-7,22165	47	-7,23601	47	-7,22256	47	-7,23368	47	-7,22637	47	-7,20965
48	-7,22491	48	-7,23456	48	-7,20027	48	-7,24012	48	-7,22352	48	-7,20525	48	-7,24917	48	-7,19603	48	-7,22156	48	-7,23599	48	-7,22258	48	-7,23369	48	-7,22639	48	-7,20965
49	-7,22496	49	-7,23456	49	-7,20027	49	-7,2401	49	-7,22365	49	-7,20524	49	-7,24914	49	-7,19605	49	-7,2215	49	-7,23598	49	-7,22256	49	-7,23372	49	-7,22636	49	-7,20964
50	-7,22494	50	-7,23455	50	-7,20029	50	-7,24011	50	-7,22349	50	-7,20523	50	-7,24916	50	-7,19599	50	-7,22302	50	-7,23599	50	-7,22253	50	-7,23371	50	-7,22638	50	-7,20964
51	-7,22486	51	-7,23455	51	-7,2003	51	-7,24008	51	-7,22341	51	-7,20525	51	-7,24913	51	-7,19602	51	-7,22328	51	-7,23595	51	-7,22258	51	-7,23368	51	-7,2264	51	-7,20964
52	-7,22492	52	-7,23457	52	-7,20028	52	-7,24009	52	-7,22372	52	-7,20525	52	-7,24916	52	-7,19601	52	-7,22343	52	-7,23598	52	-7,2226	52	-7,23373	52	-7,22639	52	-7,20963
53	-7,22396	53	-7,23452	53	-7,20029	53	-7,24005	53	-7,22349	53	-7,20523	53	-7,24913	53	-7,196	53	-7,22327	53	-7,23596	53	-7,22257	53	-7,23367	53	-7,22636	53	-7,20962
54	-7,22428	54	-7,23451	54	-7,2003	54	-7,24008	54	-7,22336	54	-7,20528	54	-7,24916	54	-7,19601	54	-7,22313	54	-7,23597	54	-7,22258	54	-7,2337	54	-7,22638	54	-7,20961
55	-7,22435	55	-7,23455	55	-7,20029	55	-7,24009	55	-7,22355	55	-7,20528	55	-7,24916	55	-7,19603	55	-7,22302	55	-7,23596	55	-7,22258	55	-7,23369	55	-7,22641	55	-7,20962
56	-7,22446	56	-7,23454	56	-7,20031	56	-7,24006	56	-7,22367	56	-7,20528	56	-7,24916	56	-7,196	56	-7,22228	56	-7,23599	56	-7,22259	56	-7,2337	56	-7,22642	56	-7,20965
57	-7,22817	57	-7,2345	57	-7,2003	57	-7,24006	57	-7,22347	57	-7,20524	57	-7,24915	57	-7,19599	57	-7,22263	57	-7,23596	57	-7,22257	57	-7,2337	57	-7,22639	57	-7,20965
58	-7,22834	58	-7,23453	58	-7,20032	58	-7,24008	58	-7,22351	58	-7,20527	58	-7,24917	58	-7,196	58	-7,22266	58	-7,236	58	-7,22254	58	-7,23367	58	-7,22639	58	-7,20966
59	-7,22824	59	-7,23458	59	-7,20028	59	-7,24007	59	-7,22364	59	-7,20525	59	-7,24919	59	-7,196	59	-7,22274	59	-7,23599	59	-7,22255	59	-7,23369	59	-7,22635	59	-7,20965
60	-7,22808	60	-7,23454	60	-7,20028	60	-7,24006	60	-7,22355	60	-7,20523	60	-7,24916	60	-7,196	60	-7,22282	60	-7,23597	60	-7,22258	60	-7,23366	60	-7,22638	60	-7,20962
61	-7,22793	61	-7,23453	61	-7,20031	61	-7,24009	61	-7,22337	61	-7,20523	61	-7,24917	61	-7,19599	61	-7,22264	61	-7,23601	61	-7,22255	61	-7,23366	61	-7,22637	61	-7,20961
62	-7,22799	62	-7,23455	62	-7,2003	62	-7,24008	62	-7,22355	62	-7,20527	62	-7,24918	62	-7,19601	62	-7,22249	62	-7,23603	62	-7,22254	62	-7,23368	62	-7,22637	62	-7,2096
63	-7,23126	63	-7,23453	63	-7,2003	63	-7,24006	63	-7,22357	63	-7,20525	63	-7,24916	63	-7,19604	63	-7,22239	63	-7,23602	63	-7,22255	63	-7,23365	63	-7,22638	63	-7,20959
64	-7,23148	64	-7,23454	64	-7,20031	64	-7,24007	64	-7,22344	64	-7,20524	64	-7,24914	64	-7,19602	64	-7,22228	64	-7,23599	64	-7,22259	64	-7,23365	64	-7,22639	64	-7,20959
65	-7,23177	65	-7,23451	65	-7,20031	65	-7,24006	65	-7,2236	65	-7,20524	65	-7,24916	65	-7,19601	65	-7,2222	65	-7,23599	65	-7,22256	65	-7,23367	65	-7,22636	65	-7,20961
66	-7,23262	66	-7,23456	66	-7,20029	66	-7,24006	66	-7,22351	66	-7,20522	66	-7,24918	66	-7,19602	66	-7,2221	66	-7,23599	66	-7,22257	66	-7,23366	66	-7,22638	66	-7,20964
67	-7,23133	67	-7,23454	67	-7,20029	67	-7,24006	67	-7,22365	67	-7,20525	67	-7,2492	67	-7,19603	67	-7,22226	67	-7,236	67	-7,22255	67	-7,2337	67	-7,22636	67	-7,20961
68	-7,23182	68	-7,23452	68	-7,20026	68	-7,24007	68	-7,22349	68	-7,20528	68	-7,24916	68	-7,19603	68	-7,22227	68	-7,23601	68	-7,22256	68	-7,23367	68	-7,22638	68	-7,20962
